1108,5448,-0.21,-0.13,0.14,16,0.00,-0.34,-0.32,0.11,5372,3.23,1.35
1112,4995,-0.26,-0.26,0.06,16,....,-0.28,-0.34,0.04,5070,2.24,1.69
1229,4821,-0.34,-0.34,0.06,16,....,-0.39,-0.42,0.08,4856,2.32,1.65
1301,5358,-0.29,-0.34,0.09,16,-0.19,-0.40,-0.36,0.05,5249,3.23,1.35
1320,4971,-0.26,-0.25,0.04,16,....,-0.29,-0.39,0.03,5051,2.43,1.62
1325,4967,-0.30,-0.29,0.07,16,....,-0.34,-0.42,0.02,5070,2.34,1.65
1340,5090,-0.33,-0.24,0.09,16,0.07,-0.28,-0.29,0.04,5308,3.18,1.37
1377,5489,-0.24,-0.24,0.12,16,-0.01,-0.39,-0.29,0.07,5421,3.29,1.36
2212,4824,-0.27,-0.31,0.04,15,....,-0.37,-0.46,0.03,4810,1.90,1.60
2255,4933,-0.31,-0.26,0.06,16,0.05,-0.37,-0.42,0.06,5063,2.72,1.51
2309,5061,-0.25,-0.29,0.04,16,....,-0.32,-0.40,0.04,5065,2.31,1.66
2329,5092,-0.26,-0.28,0.06,16,0.11,-0.36,-0.38,0.01,5106,2.35,1.65
2351,....,....,0.14,0.29,10,-0.06,-0.07,-0.02,0.10,7079,3.67,2.30
2364,5289,-0.24,-0.14,0.07,16,0.28,-0.26,-0.27,0.02,5377,2.28,1.73
2375,5058,-0.16,-0.30,0.07,16,....,-0.25,-0.41,0.02,4990,2.60,1.55
2380,5031,-0.23,-0.22,0.05,16,....,-0.37,-0.36,0.06,5094,2.33,1.66
2401,5015,-0.26,-0.25,0.08,16,....,-0.28,-0.38,0.07,5111,2.37,1.65
2402,4546,-0.34,-0.41,0.06,16,....,-0.27,-0.50,0.05,4504,1.90,1.60
3110,5383,-0.25,-0.24,0.15,15,0.02,-0.34,-0.31,0.05,5364,3.23,1.35
3204,5235,-0.29,-0.21,0.08,16,0.04,-0.34,-0.35,0.07,5231,2.04,1.60
3231,5022,-0.28,-0.27,0.04,16,0.04,-0.30,-0.37,0.04,5096,2.33,1.66
3243,5467,-0.21,-0.15,0.09,16,0.05,-0.41,-0.29,0.04,5437,3.23,1.35
3324,5045,-0.24,-0.24,0.05,16,....,-0.27,-0.36,0.03,5089,2.43,1.62
3356,5249,-0.25,-0.27,0.06,16,0.05,-0.42,-0.34,0.02,5200,2.99,1.42
3359,5067,-0.27,-0.23,0.06,16,....,-0.24,-0.38,0.04,5106,2.41,1.63
3392,5096,-0.27,-0.27,0.07,16,0.06,-0.35,-0.37,0.05,5166,2.32,1.69
4109,5364,-0.27,-0.24,0.07,16,0.07,-0.30,-0.41,0.06,5311,2.75,1.54
4128,5255,-0.27,-0.26,0.08,17,0.05,-0.39,-0.48,0.07,5246,2.32,1.69
4129,....,....,-0.28,0.06,5,-0.45,-0.11,-0.25,0.18,6314,3.54,1.83
4138,5030,-0.29,-0.27,0.06,16,....,-0.27,-0.34,0.03,5094,2.43,1.62
4143,5058,-0.22,-0.31,0.08,16,0.05,-0.34,-0.43,0.03,5077,2.43,1.62
4205,5082,-0.24,-0.21,0.09,16,....,-0.29,-0.34,0.04,5094,2.42,1.63
4223,....,....,-0.30,0.06,12,-0.18,-0.28,-0.43,0.13,5886,3.42,1.48
4240,4992,-0.28,-0.29,0.07,15,0.03,-0.35,-0.43,0.02,5030,2.43,1.62
4274,5168,-0.26,-0.27,0.08,16,....,-0.16,-0.36,0.04,5035,2.73,1.50
4372,....,....,-0.40,0.18,6,-0.54,-1.14,-0.85,0.18,6607,3.66,2.06
4528,5534,-0.19,-0.22,0.09,16,-0.05,-0.33,-0.38,0.06,5374,3.23,1.37
5249,5526,-0.34,-0.55,0.17,16,-0.50,-0.50,-0.65,0.09,5413,3.23,1.35
5271,5059,-0.26,-0.25,0.04,16,0.10,-0.36,-0.38,0.02,5108,2.38,1.64
5371,5401,-0.23,-0.18,0.07,16,-0.05,-0.46,-0.30,0.04,5385,3.27,1.36
7008,5423,-0.28,-0.34,0.10,16,-0.05,-0.33,-0.33,0.09,5234,3.31,1.31
7019,5234,-0.26,-0.21,0.06,16,-0.06,-0.39,-0.35,0.09,5202,3.20,1.35
7023,5090,-0.25,-0.29,0.06,16,0.04,-0.35,-0.47,0.04,5068,2.40,1.63
7026,5344,-0.23,-0.34,0.06,16,-0.17,-0.31,-0.46,0.06,5065,3.12,1.36
7031,5611,-0.48,-0.43,0.17,11,-0.34,-0.34,-0.48,0.07,5744,3.42,1.41
7032,....,....,-0.18,0.22,10,-0.19,-0.13,-0.30,0.19,6161,3.65,1.64
7036,5009,-0.26,-0.23,0.07,16,-0.10,-0.36,-0.41,0.07,5051,2.42,1.62
7041,5768,0.31,0.24,0.08,16,....,0.28,0.31,0.06,5643,3.58,1.31
7043,5283,-0.34,-0.27,0.07,15,0.02,-0.41,-0.22,0.03,5377,3.14,1.40
7045,4736,-0.13,-0.31,0.04,15,....,-0.04,-0.28,0.02,4741,2.52,1.57
7048,4981,-0.28,-0.32,0.07,16,....,-0.30,-0.43,0.03,5021,2.27,1.67
7066,....,....,-0.05,0.20,13,-0.54,-0.38,-0.21,0.09,6761,3.70,2.30
7069,5478,0.34,0.24,0.01,15,....,0.27,0.08,0.09,5369,2.60,1.60
7080,5377,-0.24,-0.21,0.10,15,-0.05,-0.32,-0.38,0.10,5288,3.23,1.35
7082,5712,-0.31,-0.27,0.16,13,-0.22,-0.31,-0.38,0.19,5771,3.42,1.42
7084,4750,-0.29,-0.34,0.04,15,....,-0.41,-0.48,0.02,4787,2.33,1.64
7085,4959,-0.29,-0.30,0.06,16,....,-0.21,-0.43,0.04,4928,2.55,1.56
7086,5247,-0.37,-0.17,0.11,16,-0.13,-0.23,-0.28,0.10,5479,3.40,1.33
7088,....,....,-0.31,0.19,6,-0.31,-0.63,-0.43,0.18,6329,3.54,1.83
7093,4989,0.04,0.02,0.11,16,....,-0.02,-0.15,0.07,5244,3.17,1.36
7098,5099,-0.30,-0.34,0.04,15,0.01,-0.29,-0.49,0.05,5030,2.45,1.61
7099,5055,-0.25,-0.29,0.05,16,0.04,-0.31,-0.43,0.06,5042,2.45,1.61
7102,5154,-0.22,-0.27,0.06,16,....,-0.35,-0.38,0.02,5070,2.39,1.63
7106,4848,-0.28,-0.33,0.06,15,....,-0.35,-0.50,0.06,4891,2.40,1.62
7108,4959,-0.29,-0.32,0.07,16,....,-0.30,-0.41,0.01,5007,2.63,1.54
7114,5001,-0.33,-0.31,0.06,16,-0.07,-0.41,-0.32,0.09,5080,3.03,1.39
7117,5085,-0.24,-0.27,0.05,16,....,-0.33,-0.38,0.04,5051,2.42,1.62
7128,5228,-0.25,-0.24,0.07,15,....,-0.32,-0.34,0.02,5115,3.03,1.40
